,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,labels
1342,0.681,0.831,2,-4.32,1,0.0473,0.128,0.00231,0.655,0.768,96.92,audio_features,0MnVD7YNcPKiqayEUBDnve,spotify:track:0MnVD7YNcPKiqayEUBDnve,https://api.spotify.com/v1/tracks/0MnVD7YNcPKiqayEUBDnve,https://api.spotify.com/v1/audio-analysis/0MnVD7YNcPKiqayEUBDnve,217307,4,2
1343,0.544,0.347,0,-15.504,0,0.0432,0.968,0.237,0.115,0.501,119.862,audio_features,4cawaZVzboa3UYqgR4kalj,spotify:track:4cawaZVzboa3UYqgR4kalj,https://api.spotify.com/v1/tracks/4cawaZVzboa3UYqgR4kalj,https://api.spotify.com/v1/audio-analysis/4cawaZVzboa3UYqgR4kalj,232440,4,1
1344,0.593,0.263,4,-14.029,0,0.0567,0.844,5.36e-06,0.127,0.109,76.379,audio_features,2cbic3TiUENlJX91y67ARR,spotify:track:2cbic3TiUENlJX91y67ARR,https://api.spotify.com/v1/tracks/2cbic3TiUENlJX91y67ARR,https://api.spotify.com/v1/audio-analysis/2cbic3TiUENlJX91y67ARR,238520,4,1
1345,0.683,0.677,1,-6.06,1,0.0809,0.167,8.35e-06,0.112,0.422,116.008,audio_features,0WpySA9xTObxQ5Z9c7I2Bv,spotify:track:0WpySA9xTObxQ5Z9c7I2Bv,https://api.spotify.com/v1/tracks/0WpySA9xTObxQ5Z9c7I2Bv,https://api.spotify.com/v1/audio-analysis/0WpySA9xTObxQ5Z9c7I2Bv,229973,4,7
1346,0.603,0.498,2,-9.121,0,0.0355,0.844,0.0592,0.135,0.488,160.064,audio_features,1UjtgkSgP7ptxSHG4kzc0G,spotify:track:1UjtgkSgP7ptxSHG4kzc0G,https://api.spotify.com/v1/tracks/1UjtgkSgP7ptxSHG4kzc0G,https://api.spotify.com/v1/audio-analysis/1UjtgkSgP7ptxSHG4kzc0G,209827,3,5
1347,0.802,0.639,10,-7.905,0,0.361,0.15,0.0,0.37,0.35,145.276,audio_features,112lQZi5e7i8ohZ4z0e6nu,spotify:track:112lQZi5e7i8ohZ4z0e6nu,https://api.spotify.com/v1/tracks/112lQZi5e7i8ohZ4z0e6nu,https://api.spotify.com/v1/audio-analysis/112lQZi5e7i8ohZ4z0e6nu,246596,4,7
1348,0.697,0.737,11,-7.859,0,0.0818,0.689,0.00032,0.0996,0.177,119.996,audio_features,1V7RdWso6RBW5Wmpa2s4zF,spotify:track:1V7RdWso6RBW5Wmpa2s4zF,https://api.spotify.com/v1/tracks/1V7RdWso6RBW5Wmpa2s4zF,https://api.spotify.com/v1/audio-analysis/1V7RdWso6RBW5Wmpa2s4zF,377387,4,4
1349,0.937,0.64,9,-5.587,0,0.304,0.14,1.1e-05,0.139,0.447,109.497,audio_features,56fpILiIf6gm5R9DoGsM8U,spotify:track:56fpILiIf6gm5R9DoGsM8U,https://api.spotify.com/v1/tracks/56fpILiIf6gm5R9DoGsM8U,https://api.spotify.com/v1/audio-analysis/56fpILiIf6gm5R9DoGsM8U,274013,4,7
1350,0.707,0.596,5,-7.923,1,0.0584,0.834,1.16e-05,0.185,0.393,110.953,audio_features,2gueKMmvrYywqfcQx63gkI,spotify:track:2gueKMmvrYywqfcQx63gkI,https://api.spotify.com/v1/tracks/2gueKMmvrYywqfcQx63gkI,https://api.spotify.com/v1/audio-analysis/2gueKMmvrYywqfcQx63gkI,221733,4,4
1351,0.399,0.612,4,-7.814,0,0.0358,0.00317,0.33,0.127,0.0567,128.167,audio_features,66fKIbn90iaQZ0jEuurozt,spotify:track:66fKIbn90iaQZ0jEuurozt,https://api.spotify.com/v1/tracks/66fKIbn90iaQZ0jEuurozt,https://api.spotify.com/v1/audio-analysis/66fKIbn90iaQZ0jEuurozt,356674,4,9
1352,0.837,0.492,0,-7.792,1,0.354,0.371,0.0401,0.102,0.417,85.951,audio_features,2Th9BGKvfZG8bKQSACitwG,spotify:track:2Th9BGKvfZG8bKQSACitwG,https://api.spotify.com/v1/tracks/2Th9BGKvfZG8bKQSACitwG,https://api.spotify.com/v1/audio-analysis/2Th9BGKvfZG8bKQSACitwG,245581,4,4
1353,0.874,0.728,0,-4.921,0,0.039,0.0807,0.105,0.559,0.157,118.009,audio_features,6AAw43DJbIysnD0DwVurGd,spotify:track:6AAw43DJbIysnD0DwVurGd,https://api.spotify.com/v1/tracks/6AAw43DJbIysnD0DwVurGd,https://api.spotify.com/v1/audio-analysis/6AAw43DJbIysnD0DwVurGd,184068,4,2
1354,0.669,0.431,6,-6.988,0,0.0498,0.304,0.0246,0.0829,0.259,180.038,audio_features,5dJCYzLWPrhlPLhcsrkaBi,spotify:track:5dJCYzLWPrhlPLhcsrkaBi,https://api.spotify.com/v1/tracks/5dJCYzLWPrhlPLhcsrkaBi,https://api.spotify.com/v1/audio-analysis/5dJCYzLWPrhlPLhcsrkaBi,233018,3,5
1355,0.708,0.533,6,-7.148,0,0.104,0.172,0.0404,0.112,0.536,78.039,audio_features,0LWfUHni3AITNe28V3wo3j,spotify:track:0LWfUHni3AITNe28V3wo3j,https://api.spotify.com/v1/tracks/0LWfUHni3AITNe28V3wo3j,https://api.spotify.com/v1/audio-analysis/0LWfUHni3AITNe28V3wo3j,216923,4,4
